,en,zh,translated
0,Fine .,好吧。,好 。
1,Ta-da !,好了！,完成 了 ！
2,Nice one .,好的。,好 的 例子 。
3,Really .,真的。,真的 。
4,Explore .,探索一番,探索 。
5,Thanks .,谢谢。,谢谢 。
6,Yeah .,是的。,是 的 。
7,I swear .,是真的，我发誓,我 发誓 。
8,No .,不要啊,没有 。
9,Okay .,好吧,好 吧 。
10,Wooo !,呜！,呀 乎 ！
11,Ohhhh .,噢...,哇 哦 。
12,Thanks .,谢谢。,谢谢 。
13,Raw data .,都是原始数据,原始数据 。
14,Look .,你们看,看看 。
15,Simple .,就这么简单。,简单 。
16,Thanks .,谢谢！,谢谢 。
17,Person .,“人”字。,人 。
18,Tree .,"""木""。",树 。
19,The sun .,"""日""。",太阳 。
20,The moon .,"""月""。",月球 。
21,A person .,一个“人”。,一个 人 。
22,Yeah .,很牛吧,是 的 。
23,Done .,就这样。,做 。
24,Genius .,太有才了！,天才 。
25,Go !,走你！,开始 ！
26,Oh !,啊！,哦 ！
27,Will you ?,你们也会么？,你 会 呢 ？
